question_type,question,answer
information,What is (are) A guide to clinical trials for cancer ?,
research,what research (or clinical trials) is being done for A guide to clinical trials for cancer ?,
research,what research (or clinical trials) is being done for A guide to clinical trials for cancer ?,
research,what research (or clinical trials) is being done for A guide to clinical trials for cancer ?,
research,what research (or clinical trials) is being done for A guide to clinical trials for cancer ?,
information,Do you have information about A guide to herbal remedies,
information,What is (are) A1C test ?,
susceptibility,Who is at risk for A1C test? ?,
information,What is (are) Aarskog syndrome ?,
causes,What causes Aarskog syndrome ?,
symptoms,What are the symptoms of Aarskog syndrome ?,
exams and tests,How to diagnose Aarskog syndrome ?,
treatment,What are the treatments for Aarskog syndrome ?,
support groups,Where to find support for people with Aarskog syndrome ?,
outlook,What is the outlook for Aarskog syndrome ?,
complications,What are the complications of Aarskog syndrome ?,
when to contact a medical professional,Do I need to see a doctor for Aarskog syndrome ?,
prevention,How to prevent Aarskog syndrome ?,
information,What is (are) Aase syndrome ?,
causes,What causes Aase syndrome ?,
symptoms,What are the symptoms of Aase syndrome ?,
exams and tests,How to diagnose Aase syndrome ?,
treatment,What are the treatments for Aase syndrome ?,
outlook,What is the outlook for Aase syndrome ?,
complications,What are the complications of Aase syndrome ?,
prevention,How to prevent Aase syndrome ?,
information,Do you have information about Abdomen - swollen,
information,What is (are) Abdominal aortic aneurysm ?,
causes,What causes Abdominal aortic aneurysm ?,
symptoms,What are the symptoms of Abdominal aortic aneurysm ?,
exams and tests,How to diagnose Abdominal aortic aneurysm ?,
treatment,What are the treatments for Abdominal aortic aneurysm ?,
outlook,What is the outlook for Abdominal aortic aneurysm ?,
when to contact a medical professional,Do I need to see a doctor for Abdominal aortic aneurysm ?,
prevention,How to prevent Abdominal aortic aneurysm ?,
information,Do you have information about Abdominal aortic aneurysm repair - open,
information,Do you have information about Abdominal aortic aneurysm repair - open - discharge,
information,What is (are) Abdominal bloating ?,
causes,What causes Abdominal bloating ?,
considerations,What to do for Abdominal bloating ?,
when to contact a medical professional,Do I need to see a doctor for Abdominal bloating ?,
information,Do you have information about Abdominal CT scan,
information,Do you have information about Abdominal exploration,
information,Do you have information about Abdominal girth,
information,What is (are) Abdominal mass ?,
considerations,What to do for Abdominal mass ?,
causes,What causes Abdominal mass ?,
considerations,What to do for Abdominal mass ?,
when to contact a medical professional,Do I need to see a doctor for Abdominal mass ?,
outlook,What is the outlook for Abdominal mass ?,
information,Do you have information about Abdominal MRI scan,
information,What is (are) Abdominal pain ?,
considerations,What to do for Abdominal pain ?,
causes,What causes Abdominal pain ?,
considerations,What to do for Abdominal pain ?,
when to contact a medical professional,Do I need to see a doctor for Abdominal pain ?,
outlook,What is the outlook for Abdominal pain ?,
information,What is (are) Abdominal pain - children under age 12 ?,
considerations,What to do for Abdominal pain - children under age 12 ?,
causes,What causes Abdominal pain - children under age 12 ?,
considerations,What to do for Abdominal pain - children under age 12 ?,
when to contact a medical professional,Do I need to see a doctor for Abdominal pain - children under age 12 ?,
outlook,What is the outlook for Abdominal pain - children under age 12 ?,
information,Do you have information about Abdominal radiation - discharge,
information,What is (are) Abdominal rigidity ?,
considerations,What to do for Abdominal rigidity ?,
causes,What causes Abdominal rigidity ?,
when to contact a medical professional,Do I need to see a doctor for Abdominal rigidity ?,
outlook,What is the outlook for Abdominal rigidity ?,
information,Do you have information about Abdominal sounds,
information,Do you have information about Abdominal tap,
information,Do you have information about Abdominal thrusts,
information,Do you have information about Abdominal ultrasound,
information,What is (are) Abdominal wall fat pad biopsy ?,
susceptibility,Who is at risk for Abdominal wall fat pad biopsy? ?,
information,Do you have information about Abdominal wall surgery,
information,Do you have information about Abdominal x-ray,
information,What is (are) ABO incompatibility ?,
causes,What causes ABO incompatibility ?,
symptoms,What are the symptoms of ABO incompatibility ?,
exams and tests,How to diagnose ABO incompatibility ?,
treatment,What are the treatments for ABO incompatibility ?,
outlook,What is the outlook for ABO incompatibility ?,
complications,What are the complications of ABO incompatibility ?,
when to contact a medical professional,Do I need to see a doctor for ABO incompatibility ?,
prevention,How to prevent ABO incompatibility ?,
information,What is (are) Abortion - medical ?,
information,What is (are) Abortion - medical ?,
susceptibility,Who is at risk for Abortion - medical? ?,
outlook,What is the outlook for Abortion - medical ?,
information,What is (are) Abortion - surgical ?,
information,What is (are) Abortion - surgical ?,
susceptibility,Who is at risk for Abortion - surgical? ?,
outlook,What is the outlook for Abortion - surgical ?,
information,What is (are) Abortion - surgical - aftercare ?,
outlook,What is the outlook for Abortion - surgical - aftercare ?,
information,What is (are) Abscess ?,
causes,What causes Abscess ?,
exams and tests,How to diagnose Abscess ?,
treatment,What are the treatments for Abscess ?,
when to contact a medical professional,Do I need to see a doctor for Abscess ?,
prevention,How to prevent Abscess ?,
information,What is (are) Abscess - abdomen or pelvis ?,
causes,What causes Abscess - abdomen or pelvis ?,
symptoms,What are the symptoms of Abscess - abdomen or pelvis ?,
exams and tests,How to diagnose Abscess - abdomen or pelvis ?,
treatment,What are the treatments for Abscess - abdomen or pelvis ?,
outlook,What is the outlook for Abscess - abdomen or pelvis ?,
complications,What are the complications of Abscess - abdomen or pelvis ?,
when to contact a medical professional,Do I need to see a doctor for Abscess - abdomen or pelvis ?,
information,What is (are) Abscess scan - radioactive ?,
susceptibility,Who is at risk for Abscess scan - radioactive? ?,
information,What is (are) Absence seizure ?,
causes,What causes Absence seizure ?,
symptoms,What are the symptoms of Absence seizure ?,
exams and tests,How to diagnose Absence seizure ?,
treatment,What are the treatments for Absence seizure ?,
information,What is (are) Absent pulmonary valve ?,
causes,What causes Absent pulmonary valve ?,
symptoms,What are the symptoms of Absent pulmonary valve ?,
exams and tests,How to diagnose Absent pulmonary valve ?,
treatment,What are the treatments for Absent pulmonary valve ?,
outlook,What is the outlook for Absent pulmonary valve ?,
complications,What are the complications of Absent pulmonary valve ?,
when to contact a medical professional,Do I need to see a doctor for Absent pulmonary valve ?,
prevention,How to prevent Absent pulmonary valve ?,
information,What is (are) Acanthosis nigricans ?,
causes,What causes Acanthosis nigricans ?,
symptoms,What are the symptoms of Acanthosis nigricans ?,
exams and tests,How to diagnose Acanthosis nigricans ?,
treatment,What are the treatments for Acanthosis nigricans ?,
outlook,What is the outlook for Acanthosis nigricans ?,
when to contact a medical professional,Do I need to see a doctor for Acanthosis nigricans ?,
information,Do you have information about ACE blood test,
information,Do you have information about ACE inhibitors,
information,What is (are) Acetaminophen and codeine overdose ?,
symptoms,What are the symptoms of Acetaminophen and codeine overdose ?,
considerations,What to do for Acetaminophen and codeine overdose ?,
outlook,What is the outlook for Acetaminophen and codeine overdose ?,
outlook,What is the outlook for Acetaminophen and codeine overdose ?,
information,Do you have information about Acetaminophen dosing for children,
information,What is (are) Acetaminophen overdose ?,
symptoms,What are the symptoms of Acetaminophen overdose ?,
considerations,What to do for Acetaminophen overdose ?,
outlook,What is the outlook for Acetaminophen overdose ?,
outlook,What is the outlook for Acetaminophen overdose ?,
information,What is (are) Acetone poisoning ?,
symptoms,What are the symptoms of Acetone poisoning ?,
considerations,What to do for Acetone poisoning ?,
outlook,What is the outlook for Acetone poisoning ?,
outlook,What is the outlook for Acetone poisoning ?,
information,Do you have information about Acetylcholine receptor antibody,
information,What is (are) Achalasia ?,
causes,What causes Achalasia ?,
symptoms,What are the symptoms of Achalasia ?,
exams and tests,How to diagnose Achalasia ?,
treatment,What are the treatments for Achalasia ?,
outlook,What is the outlook for Achalasia ?,
complications,What are the complications of Achalasia ?,
when to contact a medical professional,Do I need to see a doctor for Achalasia ?,
prevention,How to prevent Achalasia ?,
information,What is (are) Aches and pains during pregnancy ?,
information,What is (are) Achilles tendinitis ?,
causes,What causes Achilles tendinitis ?,
symptoms,What are the symptoms of Achilles tendinitis ?,
exams and tests,How to diagnose Achilles tendinitis ?,
treatment,What are the treatments for Achilles tendinitis ?,
outlook,What is the outlook for Achilles tendinitis ?,
complications,What are the complications of Achilles tendinitis ?,
when to contact a medical professional,Do I need to see a doctor for Achilles tendinitis ?,
prevention,How to prevent Achilles tendinitis ?,
information,Do you have information about Achilles tendon repair,
information,What is (are) Achilles tendon rupture - aftercare ?,
information,What is (are) Achilles tendon rupture - aftercare ?,
outlook,What is the outlook for Achilles tendon rupture - aftercare ?,
when to contact a medical professional,Do I need to see a doctor for Achilles tendon rupture - aftercare ?,
information,What is (are) Achondrogenesis ?,
causes,What causes Achondrogenesis ?,
symptoms,What are the symptoms of Achondrogenesis ?,
exams and tests,How to diagnose Achondrogenesis ?,
treatment,What are the treatments for Achondrogenesis ?,
outlook,What is the outlook for Achondrogenesis ?,
complications,What are the complications of Achondrogenesis ?,
when to contact a medical professional,Do I need to see a doctor for Achondrogenesis ?,
information,What is (are) Achondroplasia ?,
causes,What causes Achondroplasia ?,
