question_type,question,answer
important warning,What important warning or information should I know about Abacavir ?,
indication,Who should get Abacavir and why is it prescribed ?,
usage,How should Abacavir be used and what is the dosage ?,
precautions,Are there safety concerns or special precautions about Abacavir ?,
dietary,What special dietary instructions should I follow with Abacavir ?,
forget a dose,What should I do if I forget a dose of Abacavir ?,
side effects,What are the side effects or risks of Abacavir ?,
storage and disposal,What should I know about storage and disposal of Abacavir ?,
emergency or overdose,What to do in case of emergency or overdose of Abacavir ?,
other information,What other information should I know about Abacavir ?,
brand names,What are the brand names of Abacavir ?,
brand names of combination products,What are the brand names of combination products of Abacavir ?,
indication,Who should get Abatacept Injection and why is it prescribed ?,
usage,How should Abatacept Injection be used and what is the dosage ?,
precautions,Are there safety concerns or special precautions about Abatacept Injection ?,
dietary,What special dietary instructions should I follow with Abatacept Injection ?,
forget a dose,What should I do if I forget a dose of Abatacept Injection ?,
side effects,What are the side effects or risks of Abatacept Injection ?,
storage and disposal,What should I know about storage and disposal of Abatacept Injection ?,
emergency or overdose,What to do in case of emergency or overdose of Abatacept Injection ?,
other information,What other information should I know about Abatacept Injection ?,
brand names,What are the brand names of Abatacept Injection ?,
indication,Who should get Abiraterone and why is it prescribed ?,
usage,How should Abiraterone be used and what is the dosage ?,
precautions,Are there safety concerns or special precautions about Abiraterone ?,
dietary,What special dietary instructions should I follow with Abiraterone ?,
forget a dose,What should I do if I forget a dose of Abiraterone ?,
side effects,What are the side effects or risks of Abiraterone ?,
storage and disposal,What should I know about storage and disposal of Abiraterone ?,
emergency or overdose,What to do in case of emergency or overdose of Abiraterone ?,
other information,What other information should I know about Abiraterone ?,
brand names,What are the brand names of Abiraterone ?,
important warning,What important warning or information should I know about AbobotulinumtoxinA Injection ?,
indication,Who should get AbobotulinumtoxinA Injection and why is it prescribed ?,
usage,How should AbobotulinumtoxinA Injection be used and what is the dosage ?,
precautions,Are there safety concerns or special precautions about AbobotulinumtoxinA Injection ?,
dietary,What special dietary instructions should I follow with AbobotulinumtoxinA Injection ?,
side effects,What are the side effects or risks of AbobotulinumtoxinA Injection ?,
emergency or overdose,What to do in case of emergency or overdose of AbobotulinumtoxinA Injection ?,
other information,What other information should I know about AbobotulinumtoxinA Injection ?,
brand names,What are the brand names of AbobotulinumtoxinA Injection ?,
indication,Who should get Acamprosate and why is it prescribed ?,
usage,How should Acamprosate be used and what is the dosage ?,
precautions,Are there safety concerns or special precautions about Acamprosate ?,
dietary,What special dietary instructions should I follow with Acamprosate ?,
forget a dose,What should I do if I forget a dose of Acamprosate ?,
side effects,What are the side effects or risks of Acamprosate ?,
storage and disposal,What should I know about storage and disposal of Acamprosate ?,
emergency or overdose,What to do in case of emergency or overdose of Acamprosate ?,
other information,What other information should I know about Acamprosate ?,
brand names,What are the brand names of Acamprosate ?,
indication,Who should get Acarbose and why is it prescribed ?,
usage,How should Acarbose be used and what is the dosage ?,
precautions,Are there safety concerns or special precautions about Acarbose ?,
dietary,What special dietary instructions should I follow with Acarbose ?,
forget a dose,What should I do if I forget a dose of Acarbose ?,
side effects,What are the side effects or risks of Acarbose ?,
storage and disposal,What should I know about storage and disposal of Acarbose ?,
emergency or overdose,What to do in case of emergency or overdose of Acarbose ?,
other information,What other information should I know about Acarbose ?,
brand names,What are the brand names of Acarbose ?,
indication,Who should get Acebutolol and why is it prescribed ?,
usage,How should Acebutolol be used and what is the dosage ?,
precautions,Are there safety concerns or special precautions about Acebutolol ?,
dietary,What special dietary instructions should I follow with Acebutolol ?,
forget a dose,What should I do if I forget a dose of Acebutolol ?,
side effects,What are the side effects or risks of Acebutolol ?,
storage and disposal,What should I know about storage and disposal of Acebutolol ?,
emergency or overdose,What to do in case of emergency or overdose of Acebutolol ?,
other information,What other information should I know about Acebutolol ?,
brand names,What are the brand names of Acebutolol ?,
important warning,What important warning or information should I know about Acetaminophen ?,
indication,Who should get Acetaminophen and why is it prescribed ?,
usage,How should Acetaminophen be used and what is the dosage ?,
precautions,Are there safety concerns or special precautions about Acetaminophen ?,
dietary,What special dietary instructions should I follow with Acetaminophen ?,
forget a dose,What should I do if I forget a dose of Acetaminophen ?,
side effects,What are the side effects or risks of Acetaminophen ?,
storage and disposal,What should I know about storage and disposal of Acetaminophen ?,
emergency or overdose,What to do in case of emergency or overdose of Acetaminophen ?,
other information,What other information should I know about Acetaminophen ?,
brand names,What are the brand names of Acetaminophen ?,
brand names of combination products,What are the brand names of combination products of Acetaminophen ?,
precautions,Are there safety concerns or special precautions about Acetaminophen and Codeine ?,
indication,Who should get Acetaminophen and Codeine and why is it prescribed ?,
usage,How should Acetaminophen and Codeine be used and what is the dosage ?,
precautions,Are there safety concerns or special precautions about Acetaminophen and Codeine ?,
forget a dose,What should I do if I forget a dose of Acetaminophen and Codeine ?,
side effects,What are the side effects or risks of Acetaminophen and Codeine ?,
storage and disposal,What should I know about storage and disposal of Acetaminophen and Codeine ?,
emergency or overdose,What to do in case of emergency or overdose of Acetaminophen and Codeine ?,
other information,What other information should I know about Acetaminophen and Codeine ?,
brand names of combination products,What are the brand names of combination products of Acetaminophen and Codeine ?,
indication,Who should get Acetaminophen Injection and why is it prescribed ?,
usage,How should Acetaminophen Injection be used and what is the dosage ?,
precautions,Are there safety concerns or special precautions about Acetaminophen Injection ?,
dietary,What special dietary instructions should I follow with Acetaminophen Injection ?,
side effects,What are the side effects or risks of Acetaminophen Injection ?,
storage and disposal,What should I know about storage and disposal of Acetaminophen Injection ?,
emergency or overdose,What to do in case of emergency or overdose of Acetaminophen Injection ?,
other information,What other information should I know about Acetaminophen Injection ?,
brand names,What are the brand names of Acetaminophen Injection ?,
